plasmid_0;66+
plasmid_2;478+,124+,222-,410-,491-,450-,466-,258-,449-,478+,77+,461+,367+,225-,83-,370-,373+,341+,438+,326-,463+,181+,556-,216-,229+
plasmid_3;128-,140-,164+,202+,389-,530+,303-,380-,363+,136+,220-,26-,206+
plasmid_4;88-,70+,315+,88-,201-,220+,135+
plasmid_6;529+,99-,184-,90+,232+,472+,365-,434-,411-,499-,455-,467-,384+,479+,440+,75+,410-,408+,466-,258-,449-,476+,333-,296-,267-,378+,332+,250+,91+,67-,514+,295-
plasmid_8;269+,171-,105-,78+,160-,127-,455-,467-,384+,480-,441+,63+
plasmid_9;236-,82+,296-,268-,378+,445-,476-,449+,452-,276+,398+,470+,475+,103+,471+,468+,398-,277-,452+
plasmid_10;127+,160+,442-,71+,133+,171-,105-,52-,437+,377+,344+
plasmid_11;295+,58+,344+
plasmid_12;197-,60+,139+,404-
plasmid_13;80+
plasmid_21;223-,177+,261-,481-,366-,59+,139+
plasmid_22;360+,437-,458+,225+,367-,461-,65+,206+
plasmid_24;464+,326+,39+,105+,171+,133-,3+,318+,116+,403+,113+,243+,257-,287-
plasmid_32;206-,477-,512-,330-,431+,149+
