plasmid_0;112-,15+
plasmid_1;57-,141+,20+,155-,57-,136-,6+
plasmid_2;133-,150+,56+,31+
plasmid_3;89+,167-,24+,136+,57+,155+,26-
plasmid_4;136+,57+,155+,36+,40+,13+
plasmid_5;38+,96-,189+,146+,11+
plasmid_6;38+,96-,189+,35-
plasmid_7;38+,96-,8+
plasmid_8;38+,96-,1-,130-,179-,163-,39+,194+,87-,171-
plasmid_9;38+,83-,94+
plasmid_10;21+,175+,162-,39+,193+,72-
plasmid_11;152-,7+,175+,162-,39+,193+,64+,174+,61+
plasmid_12;121-,91-,58-,160-,116+,27-,175+,162-,39+,193+,72-
plasmid_13;162-,39+,194+,64+,171-
plasmid_14;43+,78+,142+,12+,40+,34-,116-
plasmid_15;143+,32-,40+,33-,94+
