plasmid_0;37+
plasmid_1;68+,279+,128-,124+,143+,32-,68+,278+,128-,15+
plasmid_2;98-,159-,224-,129+,120-,38-,257+,271+,60+,309-,306-,42+,307+,60-,19-,309+
plasmid_3;35+,215+,214+,260-,316-,213-,311+,82+
plasmid_4;26-,241+,2+,214+,260-,316-,213-,311+,82+
plasmid_5;271-,29-,214+,261-,316-,213-,311+,82+
plasmid_6;49-,215+,214+,261-,316-,213-,312-,82+
plasmid_7;34+,280-,207+,261-
plasmid_8;36+,207+,254+,213-,312-,82+
plasmid_9;104+,169+,220-,299-,174-,264+,269-,253-,89+,282+,195-,20-,280-,207+,254+,213-,312-,82+
plasmid_10;306+,309+,60-,271-,257-,7+,58+,10-,153-,228+,177+,266+,153-,227+,177+
plasmid_11;257-,16+,58+,5+
plasmid_12;39-,58+,40+,190+
plasmid_13;68+,279+
plasmid_14;130+,79-,96+,31+,305-,237-,114+,103+,176-,161+,223+,234-,121+,41-
plasmid_15;305-,237-,114+,103+,176-,161+,223+,234-,121+,45-,300-
