plasmid_0;62+
plasmid_1;135+,68+,35+,116-,106-,153+,141-,17-,121-,145-,78+,143-,41+,135+,107+
plasmid_2;124+,35+,116-,113+,26-,114-,119+,140-,78+,143-,41+,135+,107+
plasmid_3;129+,42+,91-,76+,129+,22+,145-,78+,142-,41+
plasmid_4;114-,118+,140-,78+,144-,41+
plasmid_5;126+,35+,116-,106-,153+
plasmid_6;30-,73+,85+,75-
plasmid_7;146-,61+,19-,54+,28+,73+,85+,75-
plasmid_8;57+,20+,88-,1-
plasmid_9;57+,6+,46-,31-
plasmid_10;82+,15-,72-
plasmid_11;82+,25+,74+
plasmid_12;86+,80-,138+,136+,134-,103-,133-,12+,150+,46+,9+,96+,52-,87+,110+,63-,77-,109-
