plasmid_0;138+,626-,464-,664-,455-,436-
plasmid_1;191-,122+,704+,231+,312+,393+,433-,375-
plasmid_2;518+,574-,219+,530-,300+,337+,603+,106+,603-
plasmid_3;368+,152+,209-,151-,554-,245-,148-,708+,326+,688+,410+,612+,222-,434+
plasmid_4;627+,113+,373-,78-,206-,512+,213-
plasmid_5;39+,174-,177+,100+,639-,405+,159+,165-,387+,258-,374+
plasmid_6;136+
plasmid_7;150+,462-,645+,670+
plasmid_8;253-,71-,639-,405+,172+,282-,475+,551-,216+,502+,483+,515-,493-,563+,386+,608-,518+,574-,219+,530-,300+,337+,603+,120+,243-,397+,372+,370-,658-,670+
plasmid_9;670-,658+,114+,253+
plasmid_10;195-,686-,552+,212+,527-,377+,661-,580-,267-,257+,175-,336+,468+,420-,223-,614-,634+,286+,301-,545-
plasmid_11;627+,117+,352+,243-,402+,372+,631+
plasmid_12;598+,137+
plasmid_13;670-,658+,594-,624+,535+,576-,87+,431-
plasmid_14;145+,431-
plasmid_15;622+,466+,373-,141+,74+,603-,337-,300-,530+,219-,574+,518-,608+,386-,563-,493+,515+,481+,126+
plasmid_16;613-,18+,205+,170-,228-,269-,414-,115-
plasmid_17;455-,436-,362-,544+,596-,363+,364-,230+,322-,560+,247+,382+,461+,345+,583+,161+,666-,670+
plasmid_18;670-,645-,188-,101+,536-,118-,619+
plasmid_19;98+
plasmid_20;658+,129+,181+,166+,105+,274+,647+,565-,202-,210+,272-,299-,423+,199+
plasmid_21;581+,654+,652-,482-,108+,482+
plasmid_22;248-,116+,240-,694+,180+,276-,611-
plasmid_23;484+,743-,510-,650+,728-,509-,624+,535+,576-,349+,95+,598-
plasmid_24;620+,307-,50+,599+,652+,654-,581-
plasmid_25;613-,133+,627-
plasmid_26;99+,431-
plasmid_27;396-,131+,328-
plasmid_28;310-,183-,261+,192-,179+,502+,481-,515-,493-,563+,386+,608-,518+,574-,219+,530-,300+,337+,603+,8+,494+,274+,647+,565-,202-,314+,244-,272-,342+,646+,401-
plasmid_29;703-,425-,718-,178+,168+,234-
plasmid_30;168+
plasmid_31;464+,628-,569-,466+,373-,141+,24-
plasmid_32;752-,403-,466+,373-,141+,194+,61-
plasmid_33;208-,28-,174-,177+,252+,400-,717+,164+
plasmid_34;186+,174-,177+,69+,583-
plasmid_35;177+
plasmid_36;167+,181+,166+,31-
plasmid_37;107+,135+,10+,543-
plasmid_38;543+,57+,135-,140-,135+,47+,162-
plasmid_39;135+
plasmid_40;187+,160-,253+
plasmid_41;657+,253+
