plasmid_0;116+,264+
plasmid_1;177+,113-,141+,184+,86+,241-,237+,208+,266+,264-,72-,218-,303-,193-,342+,200-,117-,280+,326-,264-,140-,176+,256-,140-,188-,128+,269-,317-
plasmid_2;195-,227-,105+,167+,124-,58+,316-,330-,279-,189-
plasmid_3;60-,167+,264+,326+,280-,208-,308+,238+,241+,317+,269+,148-,143+,169+,253+,247-,118+
plasmid_4;75+
plasmid_5;192+,309+,97+,195+
plasmid_6;280-,208-,308+,238+,82+,200+,343+,193+,303+,218+,152-,264+,266-,208-
plasmid_7;320+,307-,89+,132-,98-,147+,320+,306+,150+,143+,158+,194-,305-,320-
plasmid_8;218+,308-,208+,266+,73-,130-,299+,64-,132+,81+,343+,193+,304+,218+,92+,218-
plasmid_9;202+,293-,91-,129+,120+,269-,317-,241-,238-,308-,208+,266+,264-,57-,123-,40+
plasmid_10;27+,130-,198-,162-,298-,23-,122+,19+
plasmid_11;143-,88+,158-,143-,80+
plasmid_13;212-,311+,180-,114-,177-,155+,141-,270+,172+,83+
plasmid_14;190+,76+,248-,274-,273-,277-,240-,224-,255+
plasmid_15;175-,61+,268-,317-,241-,238-,308-,208+,266+,264-,99+,155-,177+,21+,268-
plasmid_28;149-,147+
