plasmid_0;60+
plasmid_1;127+,73+,149+,69+,243-,140+
plasmid_2;61+,139+,292-,150-,247-,106+,269+,295+,136-,245+,218+,87-,155-,151+,262+,245-
plasmid_3;271-,273+,278-,187-,302+,139+,292-,150-,247-,126+,181-,211-,171+,189+,216+,200-,242-,299+,236+,220+,117+,147-
plasmid_4;286-,188-,298+,157-,43-,262+,245-,136+,93+,131+
plasmid_5;161+,84+,167-,203+,185-,183-,237-,263-,224-,47+,146-,252+,223+,143-,206+,260+,232-
plasmid_6;168+,118+,121+
plasmid_7;140-,122-,124-,82+,129+
plasmid_8;212-,52+
plasmid_9;127+,70+,269+
plasmid_10;287-,188-,298+,157-,130+,131+
plasmid_11;59+,147-
plasmid_12;229-,86+
plasmid_13;140-,243+,67+,197-,135-,110+,36+,157+,285+
plasmid_14;198-,74+,142+
plasmid_15;229-,71+,250-,275+,148-
plasmid_16;164+,98+,164-
plasmid_17;80+
plasmid_18;56+,146-,251-,223+,144-,206+,260+,232-
plasmid_19;168+,50+,107+,37+,187+,265-,272+,279+
plasmid_20;288-,150-,248-,85+,169-
plasmid_21;219+,89+,239+,222-,230+,103-,239+,241-,119+
plasmid_22;264-,237+,182+,185+,202+,167+,102+,141+
plasmid_23;141-,55+,217+,116+,111+,301+,137-
plasmid_24;198-,90+,212+
plasmid_25;134+,197+,66+
plasmid_26;157-,4+,114-,25+,105+,22-,114+,6+,125+,24-,113-,26+,107-,13+,149+
plasmid_27;168+,62+,113+,53-,158-,205+,180+,208-,192+,297+,179-
plasmid_28;113+,10+,250-
plasmid_29;238-,277-,152+,255-,234-,99-,201-
plasmid_30;238-,276-,152+,256-,234-
plasmid_31;152+,256-
plasmid_32;129-,11+,125+,58+,114-,15+,107-
plasmid_33;129-,51+,125+
plasmid_34;168+,45+,114-,30+,114+,3-,280-
plasmid_35;31+,114+,41+,105-,21-,168-
plasmid_36;104+,44+,114+,27+,105-,2+,105-,18-,163-
plasmid_37;137+,34+,114+,29-,105+,5+
plasmid_38;114+,63+,157+
plasmid_39;114+,94-,142+
plasmid_40;114+,77-
plasmid_41;157-,39+,105+,68-,145-
plasmid_42;1+,105+,35+,166-
plasmid_43;163+,23-,123-
plasmid_44;210-,257+,193+,243-,140+
plasmid_45;168+,136+
plasmid_46;168+,48-
plasmid_47;168+,115+,141+
plasmid_48;168+,38-
