contig_name,plasmid_score,chromosome_score,predicted_label
23,0.87179786,0.4629022,Plasmid
18,0.8052874,0.20246057,Plasmid
25,9.9456165e-06,1.0,Chromosome
13,0.0014239263,0.9992556,Chromosome
26,0.028855784,0.9994604,Chromosome
7,0.5719755,0.38502946,Plasmid
14,0.49862188,0.44502178,not_labelled
17,0.8151546,0.19244634,Plasmid
48,0.17279051,0.9260509,Chromosome
31,0.09695038,0.9913328,Chromosome
35,0.06474031,0.9918018,Chromosome
49,0.10128359,0.9165932,Chromosome
16,0.00080940564,0.99961674,Chromosome
4,2.9684142e-07,0.9999999,Chromosome
24,0.0006588355,0.99999464,Chromosome
47,0.14608681,0.86966604,Chromosome
51,0.009997602,0.9982876,Chromosome
52,0.29192898,0.8369957,Chromosome
40,0.0122076385,0.99982005,Chromosome
21,0.31185278,0.98228735,Chromosome
2,3.2634813e-07,0.9999994,Chromosome
20,0.5598304,0.6428834,Ambiguous
43,0.18496569,0.8486393,Chromosome
50,0.17093582,0.930054,Chromosome
29,0.054716755,0.9974936,Chromosome
28,0.0018344667,0.99996436,Chromosome
42,0.24702193,0.86728084,Chromosome
30,2.9004032e-05,0.9999999,Chromosome
15,0.00053481903,0.999749,Chromosome
36,0.1619884,0.90732247,Chromosome
8,0.00017345828,0.99992085,Chromosome
12,8.40676e-05,0.9999546,Chromosome
27,0.029602632,0.99931276,Chromosome
10,0.00032919127,0.9997886,Chromosome
34,4.7170765e-06,1.0,Chromosome
39,0.02107062,0.99618596,Chromosome
41,0.47073686,0.61828035,Chromosome
37,0.22589083,0.7903941,Chromosome
38,0.22737183,0.79866433,Chromosome
33,0.47730616,0.5154735,Chromosome
32,0.46628153,0.5187712,Chromosome
45,0.020807248,0.9896046,Chromosome
44,0.05039164,0.9968047,Chromosome
3,1.253094e-07,0.9999999,Chromosome
22,0.050570633,0.9941632,Chromosome
5,1.4662031e-05,0.9999925,Chromosome
19,0.0014053595,0.99913836,Chromosome
9,0.0008275518,0.9992661,Chromosome
46,0.040272586,0.9768673,Chromosome
11,0.0012265572,0.9988918,Chromosome
6,4.935807e-05,0.999944,Chromosome
1,1.7003398e-08,1.0,Chromosome
